X	logFC	logCPM	LR	PValue	FDR	UniversalAnnotation	GeneAnnotation	GeneCategory
4729	PA14_33580	-5.427657048	1.870359845	18.37444542	1.81e-05	0.031269901	NA	hypothetical protein	Hypothetical, unclassified, unknown
4811	PA14_34190	-3.774177186	2.772307186	16.04706152	6.18e-05	0.038643366	msuD	methanesulfonate sulfonatase MsuD	Carbon compound catabolism
5148	PA14_36740	-2.13237665	4.132524581	14.1144749	0.000172015	0.048916762	NA	hypothetical protein	Putative enzymes
5232	PA14_37380igr	-7.110384651	0.626056564	13.54874519	0.000232447	0.048916762	NA	flavin-binding monooxygenase	Transport of small molecules
5240	PA14_37460	-3.985982085	2.930801069	13.95840844	0.0001869	0.048916762	NA	permease	Transport of small molecules
5249	PA14_37560	-2.901174508	3.499304828	14.28999398	0.000156696	0.048916762	NA	asparagine synthetase, glutamine-hydrolysing	Amino acid biosynthesis and metabolism
5257	PA14_37610igr	-7.472220574	0.915515506	16.99567294	3.75e-05	0.03580441	NA	kynureninase	Amino acid biosynthesis and metabolism
5294	PA14_37900igr	-4.973921317	2.145022844	18.37250069	1.82e-05	0.031269901	sppR	TonB-dependent receptor, SppR	Membrane proteins
5333	PA14_38190	-4.407226071	2.874052073	15.96901425	6.44e-05	0.038643366	NA	hypothetical protein	Hypothetical, unclassified, unknown
5444	PA14_39000	-2.791732711	4.116932019	13.64583294	0.000220731	0.048916762	NA	hypothetical protein	Hypothetical, unclassified, unknown
5904	PA14_42300	-4.979305571	1.652490675	14.19665445	0.000164663	0.048916762	pscG	type III export protein PscG	Protein secretion/export apparatus
6072	PA14_43570	-4.851120667	1.96998811	13.62845252	0.000222783	0.048916762	NA	hypothetical protein	Transport of small molecules
6509	PA14_46640	-2.269590707	4.590077632	13.49843757	0.000238762	0.048916762	NA	siderophore receptor	Transport of small molecules
6562	PA14_46990igr	-7.999147439	2.182039539	23.99320049	9.67e-07	0.00998475	NA	two-component response regulator	Two-component regulatory systems
6728	PA14_48300	-2.270437188	3.848938976	13.84766415	0.000198243	0.048916762	NA	MFS transporter	Transport of small molecules
7774	PA14_55330	-8.557935024	2.404616604	21.5020961	3.53e-06	0.015532241	NA	hypothetical protein	Hypothetical, unclassified, unknown
7791	PA14_55480	-3.869034535	2.697860351	14.46380021	0.000142879	0.048916762	hxcX	HxcX	Protein secretion/export apparatus
7888	PA14_56140	-2.169468152	3.870840526	13.87729354	0.000195142	0.048916762	NA	hypothetical protein	Hypothetical, unclassified, unknown
7983	PA14_56890igr	-3.586227397	1.512985902	16.905758	3.93e-05	0.03580441	NA	multidrug efflux protein	Antibiotic resistance and susceptibility
8964	PA14_63640	-3.04138714	3.68233761	15.32529288	9.05e-05	0.044507146	fadH2	2,4-dienoyl-CoA reductase	Fatty acid and phospholipid metabolism
8971	PA14_63710	-5.294966522	2.559972092	17.52601088	2.83e-05	0.03580441	NA	glycosyl transferase family protein	Transport of small molecules
9567	PA14_68090	-2.424592587	3.254624991	13.49352119	0.000239389	0.048916762	NA	ABC transporter permease	Transport of small molecules
10028	PA14_71300	-4.20803403	2.553821024	18.55154481	1.65e-05	0.031269901	NA	electron transfer flavoprotein alpha subunit	Energy metabolism
10048	PA14_71430igr	-2.270384725	4.489907898	15.63880056	7.67e-05	0.041673621	NA	hypothetical protein	Hypothetical, unclassified, unknown
